id,created_at,text,hashtags,media_url
1573763773470580738,2022-09-24 19:58:17+00:00,b'@MichaelBensonn https://t.co/aqL5XCJE1P',[],http://pbs.twimg.com/media/FdchzSqXEAA0gAk.jpg
1573679902779400194,2022-09-24 14:25:01+00:00,b'RT @MostVpromotions: 35 days to #PaulSilva https://t.co/OZQnICbEFm',"[{'text': 'PaulSilva', 'indices': [32, 42]}]",http://pbs.twimg.com/media/Fdam2tHWQAEiBFA.jpg
1573420772017725441,2022-09-23 21:15:19+00:00,b'https://t.co/fNulZ2wgC0 https://t.co/YAyr7G6rXj',[],http://pbs.twimg.com/ext_tw_video_thumb/1573420706406154240/pu/img/xwsFBdWCpI1jdLON.jpg
1573374283463725057,2022-09-23 18:10:35+00:00,b'Guys only care about looks smh\xe2\x80\xa6 https://t.co/7RZTrhpU70',[],http://pbs.twimg.com/media/FdW_kk2WQAEDKsi.jpg
1573223574923579392,2022-09-23 08:11:43+00:00,"b'For #Mahsa_Amini and the people of Iran who are standing up for their freedom. You will be heard. \n\nTo all creators, boxers, athletes - please join me &amp; speak up.\n\nThank you to my manager for making me aware of what\xe2\x80\x99s happening in his country of birth. \n\nPlease retweet. #OpIran https://t.co/NWjcbMd4Hp'","[{'text': 'Mahsa_Amini', 'indices': [4, 16]}, {'text': 'OpIran', 'indices': [275, 282]}]",http://pbs.twimg.com/ext_tw_video_thumb/1573223310070095873/pu/img/0Wcei2yseW97rfVz.jpg
1572892306470207492,2022-09-22 10:15:23+00:00,b'My manager is from Iran. What he described happens to girls that don\xe2\x80\x99t comply with a \xe2\x80\x9cdress code\xe2\x80\x9d is a human rights crisis. I stand with you all.  I stand with the youth. #OpIran https://t.co/UpARnHxUvJ',"[{'text': 'OpIran', 'indices': [171, 178]}]",http://pbs.twimg.com/media/FdQJN1lX0AEyuR2.jpg
1572653795754274818,2022-09-21 18:27:38+00:00,b'The best to ever do it. 7 Division champ  @Serranosisters this Saturday on @BTSportBoxing and @ESPNPlus https://t.co/yQyCVEUyU0',[],http://pbs.twimg.com/ext_tw_video_thumb/1572653748849197062/pu/img/m3zoZ8FBlaufRz0k.jpg
1571283461112995840,2022-09-17 23:42:24+00:00,b'no disrespect https://t.co/Xl1Uz5ANvv',[],http://pbs.twimg.com/media/Fc5R-o5XwAABp3k.jpg
1570968675913728000,2022-09-17 02:51:34+00:00,b'No disrespect Heyman but Logan would KO your boy Roman Reigns easy \xe2\x80\xa6@WWERomanReigns \n\n https://t.co/R3BHlhF8ig',[],http://pbs.twimg.com/media/Fc0PINQXEAMNzFc.jpg
1570121651333001216,2022-09-14 18:45:47+00:00,b'Hit the link\xe2\x80\xa6\n\nhttps://t.co/KQvDTnB1Pc https://t.co/R4x30S48vo',[],http://pbs.twimg.com/ext_tw_video_thumb/1570121558479503361/pu/img/MRdI-IsW_xnQwXuX.jpg
1569807928756150272,2022-09-13 21:59:10+00:00,b'I see you\xe2\x80\xa6 https://t.co/IRFGQ4TcO1',[],http://pbs.twimg.com/media/FckT_CeaUAIGyZ2.jpg
1568826141754150915,2022-09-11 04:57:54+00:00,b'This is how you leave an employer and become your own boss. https://t.co/erwnFxBvkc',[],http://pbs.twimg.com/media/FcWXD4qXgAIoSPE.jpg
